stock_code,historical_var_95
CEO,0.379986593598682
BMS,0.2968318508351006
SZC,0.2877095941924913
VND,0.2661675144719613
PHR,0.2603683289106149
DDV,0.2539563083907374
GVR,0.2479119677447242
DRI,0.2417452297568146
VCG,0.2417367573157406
TV2,0.225724469498303
VCS,0.2249681596132823
VGC,0.2236506445590153
VTP,0.2232258017202128
MSH,0.216137979826915
PVC,0.2160006467187724
NKG,0.2130953798188166
VEF,0.2124953959750903
PVB,0.2091521956351181
CST,0.199953521815608
SSI,0.1978197964454954
ITD,0.1938401740191296
CSV,0.1934812310307555
SMT,0.1906364311133696
AAA,0.1905847512005947
BSR,0.1882379197626833
ADS,0.1855491752890745
YEG,0.1854919672278839
VHM,0.1843106974920594
TCB,0.1837470749643409
CC1,0.1835067159701685
BCM,0.1792618512668328
DCM,0.1787764904354589
SGT,0.1746729604092636
MML,0.1705290287526375
CNG,0.16953303220754
EVF,0.1690957902249915
CTR,0.1637591248024234
SCL,0.1624059754386606
THD,0.1623757462151789
HAP,0.1598359396061671
VTD,0.159263398447852
PVD,0.158386357590635
VLC,0.1576261534768818
VBB,0.1558347019542337
PVS,0.155342261121252
CMG,0.154596779455736
DPR,0.1499719443834593
VRE,0.1493290678361175
NAF,0.1361381580692805
TNH,0.1357982660228177
TMB,0.1317356685285231
ACG,0.1266933312102559
BLI,0.1252482271789206
HPG,0.122260479050673
TN1,0.1192163834164123
REE,0.1166669810067709
VLB,0.1146050382089553
IMP,0.114310581928009
FPT,0.1039716968298971
PVM,0.1037133957836801
TMS,0.0946610355354637
PMB,0.0927459813915962
FOX,0.0888665323637174
GMD,0.0885249180581656
SAB,0.086400482641625
VCB,0.0858215076814015
DHT,0.0839409229334877
BVH,0.0821371385398789
SKV,0.0755009488500333
QNS,0.0744266775934849
SGB,0.0742281826580874
NET,0.0720414376215393
BWE,0.0719563487353648
ICT,0.0698811699608201
BHN,0.0674737572798014
BIC,0.0671038452192333
LIX,0.0629904977297364
VNM,0.0620931748186127
AST,0.0598436315293109
DHG,0.0543502976021283
VPD,0.053085915531942
KOS,0.0509153485278087
VEA,0.0505415710953447
CDC,0.0433189045414175
DSN,0.041611642398425
CLC,0.0395912329577778
ADG,0.3110074635676564
